Surat,Ayat,Teks,processed_advanced,processed_no_stem,processed_minimal
2,54,"(Ingatlah) ketika Musa berkata kepada kaumnya,  Wahai kaumku, sesungguhnya kamu telah menzalimi dirimu sendiri dengan menjadikan (patung) anak sapi (sebagai sembahan). Oleh karena itu, bertobatlah kepada Penciptamu dan bunuhlah dirimu.) Itu lebih baik bagimu dalam pandangan Penciptamu. Dia akan menerima tobatmu. Sesungguhnya Dialah Yang Maha Penerima Tobat lagi Maha Penyayang.",musa kaum wahai kaum zalim diri sendiri jadi anak sapi tobat cipta bunuh diri baik bagi pandang cipta terima tobat dia maha terima tobat maha sayang,musa kaumnya wahai kaumku menzalimi dirimu sendiri menjadikan anak sapi bertobatlah penciptamu bunuhlah dirimu baik bagimu pandangan penciptamu menerima tobatmu dialah maha penerima tobat maha penyayang,ketika musa berkata kepada kaumnya wahai kaumku sesungguhnya kamu telah menzalimi dirimu sendiri dengan menjadikan anak sapi oleh karena itu bertobatlah kepada penciptamu dan bunuhlah dirimu itu lebih baik bagimu dalam pandangan penciptamu dia akan menerima tobatmu sesungguhnya dialah yang maha penerima tobat lagi maha penyayang
2,55,"(Ingatlah) ketika kamu berkata,  Wahai Musa, kami tidak akan beriman kepadamu sebelum melihat Allah dengan jelas.” Maka, halilintar menyambarmu dan kamu menyaksikan(-nya).",wahai musa iman kepada lihat jelas halilintar sambar saksi,wahai musa beriman kepadamu melihat jelas halilintar menyambarmu menyaksikan,ketika kamu berkata wahai musa kami tidak akan beriman kepadamu sebelum melihat allah dengan jelas maka halilintar menyambarmu dan kamu menyaksikan
2,56,"Kemudian, Kami membangkitkan kamu setelah kematianmu agar kamu bersyukur.",bangkit mati syukur,membangkitkan kematianmu bersyukur,kemudian kami membangkitkan kamu setelah kematianmu agar kamu bersyukur
2,57,"Kami menaungi kamu dengan awan dan Kami menurunkan kepadamu manna dan salwa.) Makanlah (makanan) yang baik-baik dari rezeki yang telah Kami berikan kepadamu. Mereka tidak menzalimi Kami, tetapi justru merekalah yang menzalimi diri sendiri.",taung awan turun kepada manna salwa makan baik baik rezeki ikan kepada zalim justru mereka zalim diri sendiri,menaungi awan menurunkan kepadamu manna salwa makanlah baik baik rezeki berikan kepadamu menzalimi justru merekalah menzalimi diri sendiri,kami menaungi kamu dengan awan dan kami menurunkan kepadamu manna dan salwa makanlah yang baik baik dari rezeki yang telah kami berikan kepadamu mereka tidak menzalimi kami tetapi justru merekalah yang menzalimi diri sendiri
2,58,"(Ingatlah) ketika Kami berfirman,  Masuklah ke negeri ini (Baitulmaqdis). Lalu, makanlah dengan nikmat (berbagai makanan) yang ada di sana sesukamu. Masukilah pintu gerbangnya sambil membungkuk dan katakanlah, ‘Bebaskanlah kami (dari dosa-dosa kami),’ niscaya Kami mengampuni kesalahan-kesalahanmu. Kami akan menambah (karunia) kepada orang-orang yang berbuat kebaikan.”",masuk negeri makan nikmat ada sana suka masuk pintu gerbang bungkuk kata bebas niscaya ampun salah salah tambah buat baik,masuklah negeri makanlah nikmat ada sana sesukamu masukilah pintu gerbangnya membungkuk katakanlah bebaskanlah niscaya mengampuni kesalahan kesalahanmu menambah berbuat kebaikan,ketika kami berfirman masuklah ke negeri ini lalu makanlah dengan nikmat yang ada di sana sesukamu masukilah pintu gerbangnya sambil membungkuk dan katakanlah bebaskanlah kami niscaya kami mengampuni kesalahan kesalahanmu kami akan menambah kepada orang orang yang berbuat kebaikan
2,59,"Lalu, orang-orang yang zalim mengganti perintah dengan (perintah lain) yang tidak diperintahkan kepada mereka. Maka, Kami menurunkan malapetaka dari langit kepada orang-orang yang zalim itu karena mereka selalu berbuat fasik.",zalim ganti perintah perintah turun malapetaka langit zalim selalu buat fasik,zalim mengganti perintah diperintahkan menurunkan malapetaka langit zalim selalu berbuat fasik,lalu orang orang yang zalim mengganti perintah dengan yang tidak diperintahkan kepada mereka maka kami menurunkan malapetaka dari langit kepada orang orang yang zalim itu karena mereka selalu berbuat fasik
2,60,"(Ingatlah) ketika Musa memohon (curahan) air untuk kaumnya. Lalu, Kami berfirman,  Pukullah batu itu dengan tongkatmu!” Maka, memancarlah darinya (batu itu) dua belas mata air. Setiap suku telah mengetahui tempat minumnya (masing-masing). 
Makan dan minumlah rezeki (yang diberikan) Allah dan janganlah melakukan kejahatan di bumi dengan berbuat kerusakan.",musa mohon air kaum pukul batu tongkat pancar dari belas mata air suku tahu tempat minum makan minum rezeki jangan laku jahat bumi buat rusa,musa memohon air kaumnya pukullah batu tongkatmu memancarlah darinya belas mata air suku mengetahui tempat minumnya makan minumlah rezeki janganlah melakukan kejahatan bumi berbuat kerusakan,ketika musa memohon air untuk kaumnya lalu kami berfirman pukullah batu itu dengan tongkatmu maka memancarlah darinya dua belas mata air setiap suku telah mengetahui tempat minumnya makan dan minumlah rezeki allah dan janganlah melakukan kejahatan di bumi dengan berbuat kerusakan
2,61,"(Ingatlah) ketika kamu berkata,  Wahai Musa, kami tidak tahan hanya (makan) dengan satu macam makanan. Maka, mohonkanlah kepada Tuhanmu untuk kami agar Dia memberi kami apa yang ditumbuhkan bumi, seperti sayur-mayur, mentimun, bawang putih, kacang adas, dan bawang merah.” Dia (Musa) menjawab,  Apakah kamu meminta sesuatu yang buruk sebagai ganti dari sesuatu yang baik? Pergilah ke suatu kota. Pasti kamu akan memperoleh apa yang kamu minta.” Kemudian, mereka ditimpa kenistaan dan kemiskinan, dan mereka (kembali) mendapat kemurkaan dari Allah. Hal itu (terjadi) karena sesungguhnya mereka selalu mengingkari ayat-ayat Allah dan membunuh para nabi tanpa hak (alasan yang benar). Yang demikian itu ditimpakan karena mereka durhaka dan selalu melampaui batas.",wahai musa tahan satu macam makan mohon tuhan beri tumbuh bumi sayur mayur mentimun bawang putih kacang adas bawang merah dia jawab minta buruk ganti sesuatu baik pergi kota oleh minta timpa nista miskin dapat murka selalu ingkar ayat ayat bunuh nabi hak demikian timpa durhaka selalu lampau batas,wahai musa tahan satu macam makanan mohonkanlah tuhanmu memberi ditumbuhkan bumi sayur mayur mentimun bawang putih kacang adas bawang merah dia menjawab meminta buruk ganti sesuatu baik pergilah kota memperoleh minta ditimpa kenistaan kemiskinan mendapat kemurkaan selalu mengingkari ayat ayat membunuh nabi hak demikian ditimpakan durhaka selalu melampaui batas,ketika kamu berkata wahai musa kami tidak tahan hanya dengan satu macam makanan maka mohonkanlah kepada tuhanmu untuk kami agar dia memberi kami apa yang ditumbuhkan bumi seperti sayur mayur mentimun bawang putih kacang adas dan bawang merah dia menjawab apakah kamu meminta sesuatu yang buruk sebagai ganti dari sesuatu yang baik pergilah ke suatu kota pasti kamu akan memperoleh apa yang kamu minta kemudian mereka ditimpa kenistaan dan kemiskinan dan mereka mendapat kemurkaan dari allah hal itu karena sesungguhnya mereka selalu mengingkari ayat ayat allah dan membunuh para nabi tanpa hak yang demikian itu ditimpakan karena mereka durhaka dan selalu melampaui batas
2,62,"Sesungguhnya orang-orang yang beriman, orang-orang Yahudi, orang-orang Nasrani, dan orang-orang Sabiin,) siapa saja (di antara mereka) yang beriman kepada Allah dan hari Akhir serta melakukan kebajikan (pasti) mendapat pahala dari Tuhannya, tidak ada rasa takut yang menimpa mereka dan mereka pun tidak bersedih hati.)",iman yahudi nasrani sabiin siapa iman hari akhir laku kebaji dapat pahala tuhan ada rasa takut timpa pun sedih hati,beriman yahudi nasrani sabiin siapa beriman hari akhir melakukan kebajikan mendapat pahala tuhannya ada rasa takut menimpa pun bersedih hati,sesungguhnya orang orang yang beriman orang orang yahudi orang orang nasrani dan orang orang sabiin siapa saja yang beriman kepada allah dan hari akhir serta melakukan kebajikan mendapat pahala dari tuhannya tidak ada rasa takut yang menimpa mereka dan mereka pun tidak bersedih hati
2,63,"(Ingatlah) ketika Kami mengambil janjimu dan Kami angkat gunung (Sinai) di atasmu (seraya berfirman),  Pegang teguhlah apa yang telah Kami berikan kepadamu dan ingatlah apa yang ada di dalamnya agar kamu bertakwa.”",ambil janji angkat gunung atas pegang teguh ikan kepada ingat ada dalam takwa,mengambil janjimu angkat gunung atasmu pegang teguhlah berikan kepadamu ingatlah ada dalamnya bertakwa,ketika kami mengambil janjimu dan kami angkat gunung di atasmu pegang teguhlah apa yang telah kami berikan kepadamu dan ingatlah apa yang ada di dalamnya agar kamu bertakwa
2,64,"Setelah itu, kamu berpaling. Maka, seandainya bukan karena karunia Allah dan rahmat-Nya kepadamu, pasti kamu termasuk orang yang rugi.",paling anda karunia rahmat kepada masuk rugi,berpaling seandainya karunia rahmat kepadamu termasuk rugi,setelah itu kamu berpaling maka seandainya bukan karena karunia allah dan rahmat nya kepadamu pasti kamu termasuk orang yang rugi
2,65,"Sungguh, kamu benar-benar telah mengetahui orang-orang yang melakukan pelanggaran di antara kamu pada hari Sabat, lalu Kami katakan kepada mereka,  Jadilah kamu kera yang hina!”",benar benar tahu laku langgar antara hari sabat kata jadi kera hina,benar benar mengetahui melakukan pelanggaran antara hari sabat katakan jadilah kera hina,sungguh kamu benar benar telah mengetahui orang orang yang melakukan pelanggaran di antara kamu pada hari sabat lalu kami katakan kepada mereka jadilah kamu kera yang hina
2,66,"Maka, Kami jadikan (yang demikian) itu sebagai peringatan bagi orang-orang pada masa itu dan bagi mereka yang datang kemudian, serta menjadi pelajaran bagi orang-orang yang bertakwa.",jadi ingat masa datang ajar takwa,jadikan peringatan masa datang pelajaran bertakwa,maka kami jadikan itu sebagai peringatan bagi orang orang pada masa itu dan bagi mereka yang datang kemudian serta menjadi pelajaran bagi orang orang yang bertakwa
2,67,"(Ingatlah) ketika Musa berkata kepada kaumnya,  Allah memerintahkan kamu agar menyembelih seekor sapi.” Mereka bertanya,  Apakah engkau akan menjadikan kami sebagai ejekan?” Dia menjawab,  Aku berlindung kepada Allah agar tidak termasuk orang-orang yang jahil.”)",musa kaum perintah sembelih ekor sapi tanya jadi ejek jawab lindung masuk jahil,musa kaumnya memerintahkan menyembelih seekor sapi bertanya menjadikan ejekan menjawab berlindung termasuk jahil,ketika musa berkata kepada kaumnya allah memerintahkan kamu agar menyembelih seekor sapi mereka bertanya apakah engkau akan menjadikan kami sebagai ejekan dia menjawab aku berlindung kepada allah agar tidak termasuk orang orang yang jahil
2,68,"Mereka berkata,  Mohonkanlah kepada Tuhanmu untuk kami agar Dia menjelaskan kepada kami tentang (sapi) itu.” Dia (Musa) menjawab,  Dia (Allah) berfirman bahwa sapi itu tidak tua dan tidak muda, (tetapi) pertengahan antara itu. Maka, kerjakanlah apa yang diperintahkan kepadamu.”",mohon tuhan jelas jawab dia sapi tua muda tengah kerja perintah kepada,mohonkanlah tuhanmu menjelaskan menjawab dia sapi tua muda pertengahan kerjakanlah diperintahkan kepadamu,mereka berkata mohonkanlah kepada tuhanmu untuk kami agar dia menjelaskan kepada kami tentang itu dia menjawab dia berfirman bahwa sapi itu tidak tua dan tidak muda pertengahan antara itu maka kerjakanlah apa yang diperintahkan kepadamu
2,69,"Mereka berkata,  Mohonkanlah kepada Tuhanmu untuk kami agar Dia menjelaskan kepada kami apa warnanya.” Dia (Musa) menjawab,  Dia (Allah) berfirman bahwa (sapi) itu adalah sapi yang warnanya kuning tua, yang menyenangkan orang-orang yang memandang(-nya).”",mohon tuhan jelas warna jawab dia sapi warna kuning tua senang pandang,mohonkanlah tuhanmu menjelaskan warnanya menjawab dia sapi warnanya kuning tua menyenangkan memandang,mereka berkata mohonkanlah kepada tuhanmu untuk kami agar dia menjelaskan kepada kami apa warnanya dia menjawab dia berfirman bahwa itu adalah sapi yang warnanya kuning tua yang menyenangkan orang orang yang memandang
2,70,"Mereka berkata,  Mohonkanlah kepada Tuhanmu untuk kami agar Dia menjelaskan kepada kami tentang (sapi) itu. (Karena) sesungguhnya sapi itu belum jelas bagi kami, dan jika Allah menghendakinya, niscaya kami mendapat petunjuk.”",mohon tuhan dia jelas sapi jelas hendak niscaya dapat tunjuk,mohonkanlah tuhanmu dia menjelaskan sapi jelas menghendakinya niscaya mendapat petunjuk,mereka berkata mohonkanlah kepada tuhanmu untuk kami agar dia menjelaskan kepada kami tentang itu sesungguhnya sapi itu belum jelas bagi kami dan jika allah menghendakinya niscaya kami mendapat petunjuk
2,71,"Dia (Musa) menjawab,  Dia (Allah) berfirman bahwa (sapi) itu adalah sapi yang belum pernah dipakai untuk membajak tanah dan tidak (pula) untuk mengairi tanaman, sehat, dan tanpa belang.” Mereka berkata,  Sekarang barulah engkau menerangkan (hal) yang sebenarnya.” Lalu, mereka menyembelihnya, dan hampir saja mereka tidak melaksanakan (perintah) itu.",jawab sapi pernah pakai bajak tanah air tanam sehat belang sekarang baru terang benar sembelih hampir laksana,menjawab sapi pernah dipakai membajak tanah mengairi tanaman sehat belang sekarang barulah menerangkan sebenarnya menyembelihnya hampir melaksanakan,dia menjawab dia berfirman bahwa itu adalah sapi yang belum pernah dipakai untuk membajak tanah dan tidak untuk mengairi tanaman sehat dan tanpa belang mereka berkata sekarang barulah engkau menerangkan yang sebenarnya lalu mereka menyembelihnya dan hampir saja mereka tidak melaksanakan itu
2,72,"(Ingatlah) ketika kamu membunuh seseorang lalu kamu saling tuduh tentang itu. Akan tetapi, Allah menyingkapkan apa yang selalu kamu sembunyikan.",bunuh orang saling tuduh singkap selalu sembunyi,membunuh seseorang saling tuduh menyingkapkan selalu sembunyikan,ketika kamu membunuh seseorang lalu kamu saling tuduh tentang itu akan tetapi allah menyingkapkan apa yang selalu kamu sembunyikan
2,73,"Lalu, Kami berfirman,  Pukullah (mayat) itu dengan bagian dari (sapi) itu!” Demikianlah Allah menghidupkan (orang) yang telah mati, dan Dia memperlihatkan kepadamu tanda-tanda (kekuasaan-Nya) agar kamu mengerti.",pukul bagi demikian hidup mati dia lihat kepada tanda tanda erti,pukullah bagian demikianlah menghidupkan mati dia memperlihatkan kepadamu tanda tanda mengerti,lalu kami berfirman pukullah itu dengan bagian dari itu demikianlah allah menghidupkan yang telah mati dan dia memperlihatkan kepadamu tanda tanda agar kamu mengerti
2,74,"Setelah itu, hatimu menjadi keras sehingga ia (hatimu) seperti batu, bahkan lebih keras. Padahal, dari batu-batu itu pasti ada sungai-sungai yang (airnya) memancar. Ada pula yang terbelah, lalu keluarlah mata air darinya, dan ada lagi yang meluncur jatuh karena takut kepada Allah. Allah tidaklah lengah terhadap apa yang kamu kerjakan.",hati keras batu bahkan keras padahal batu batu pasti sungai sungai pancar pula belah keluar mata air dari ada luncur jatuh takut tidak lengah kerja,hatimu keras batu bahkan keras padahal batu batu pasti sungai sungai memancar pula terbelah keluarlah mata air darinya ada meluncur jatuh takut tidaklah lengah kerjakan,setelah itu hatimu menjadi keras sehingga ia seperti batu bahkan lebih keras padahal dari batu batu itu pasti ada sungai sungai yang memancar ada pula yang terbelah lalu keluarlah mata air darinya dan ada lagi yang meluncur jatuh karena takut kepada allah allah tidaklah lengah terhadap apa yang kamu kerjakan
2,75,"Maka, apakah kamu (muslimin) sangat mengharapkan mereka agar percaya kepadamu, sedangkan segolongan mereka mendengar firman Allah lalu mereka mengubahnya setelah memahaminya, padahal mereka mengetahui(-nya)?",apakah harap percaya kepada golong dengar firman ubah paham padahal tahu,apakah mengharapkan percaya kepadamu segolongan mendengar firman mengubahnya memahaminya padahal mengetahui,maka apakah kamu sangat mengharapkan mereka agar percaya kepadamu sedangkan segolongan mereka mendengar firman allah lalu mereka mengubahnya setelah memahaminya padahal mereka mengetahui
2,76,"Apabila berjumpa dengan orang-orang yang beriman, mereka berkata,  Kami telah beriman.” Akan tetapi, apabila kembali kepada sesamanya, mereka bertanya,  Apakah akan kamu ceritakan kepada mereka apa yang telah diterangkan Allah kepadamu sehingga mereka dapat menyanggah kamu di hadapan Tuhanmu? Apakah kamu tidak mengerti?”",apabila jumpa iman iman apabila sama tanya cerita terang kepada sanggah hadap tuhan erti,apabila berjumpa beriman beriman apabila sesamanya bertanya ceritakan diterangkan kepadamu menyanggah hadapan tuhanmu mengerti,apabila berjumpa dengan orang orang yang beriman mereka berkata kami telah beriman akan tetapi apabila kembali kepada sesamanya mereka bertanya apakah akan kamu ceritakan kepada mereka apa yang telah diterangkan allah kepadamu sehingga mereka dapat menyanggah kamu di hadapan tuhanmu apakah kamu tidak mengerti
